id|name|age|country|value
24091|Carlos Javier Acuña Caballero|35|Paraguay|€50k
27339|Cedric Mabwati Gerard|30|-|€0
6738|Juan Francisco Moreno Fuertes|35|Spain|-
6654|Antonio Adán Garrido|36|Spain|€1.00m
27144|Antonio Amaya Carazo|40|Spain|-
6761|Leonardo Carrilho Baptistão|31|Brazil|€1.80m
26782|José Antonio Delgado Villar|30|Spain|€650k
6559|Juan Carlos Pérez López|33|Spain|€800k
24143|Álvaro Vadillo Cifuentes|29|Spain|€400k
26801|Jordi Figueras Montel|36|Spain|-
27338|Lorenzo Enrique Reyes Vicencio|32|Chile|€500k
6630|Jorge Molina Vidal|41|Spain|-
6832|Rubén Castro Martín|42|Spain|€100k
27337|Braian Damián Rodríguez Carballo|37|Uruguay|-
23985|José Antonio Caro Martínez|30|Spain|€200k
25892|Ignacio Pérez Santamaría|43|Spain|-
27203|Markus Steinhöfer|37|Germany|-
24162|Xavier Torres Buigues|37|Spain|€100k
27202|Guillermo Sara|36|Argentina|-
26211|Joan Verdú Fernández|40|Spain|-
24505|Manuel Jesús Vázquez Florido|32|Spain|€200k
6886|Dídac Vilá Rosselló|34|Spain|-
26794|Javier Magro Matilla|35|Spain|€175k
6351|Cristhian Ricardo Stuani Curbelo|37|Uruguay|€2.00m
10325|Luís Miguel Afonso Fernandes|34|Portugal|€2.00m
6791|Javier López Rodríguez|37|Spain|€200k
26623|Diego Daniel Colotto|42|Argentina|-
19765|Simão Pedro Fonseca Sabrosa|44|Portugal|-
23967|Alejandro Fernández Iglesias|31|Spain|€3.00m
11165|Yacine Brahimi|33|Algeria|€2.80m
25707|Francisco Manuel Rico Castro|36|Spain|-
26797|Francisco Medina Luna|42|Spain|-
6585|Jeison Fabián Murillo Cerón|31|Colombia|€900k
3742|Orestis Karnezis|38|Greece|-
6743|Manuel Rolando Iturra Urrutia|39|Chile|-
6580|José Luis García del Pozo|32|Spain|€300k
4546|Dimitri Foulquier|30|Guadeloupe|€2.50m
9542|Tiago Abiola Delfim Almeida Ilori|30|Portugal|€400k
27252|Christian Daniel Bravo Araneda|30|Chile|€325k
7428|Alexandre Coeff|31|France|€500k
26781|Diego Mainz García|40|Spain|-
3058|Javier Hernández Balcázar|35|Mexico|€1.00m
3538|Wayne Mark Rooney|38|England|-
20175|Ryan Giggs|50|Wales|-
